Code,Country,Income group,Number of Records,Year,Population,Region
,Anguilla,,1,1951,5297,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1951,48306,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1951,17507132,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1951,1382982,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1951,38263,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1951,8417640,East Asia & Pacific
AUT,Austria,High income: OECD,1,1951,6930348,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1951,2965338,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1951,79984,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1951,116919,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1951,38706927,South Asia
BRB,Barbados,High income: nonOECD,1,1951,215704,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1951,7717708,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1951,8673691,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1951,71243,Latin America & Caribbean
BEN,Benin,Low income,1,1951,2258049,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1951,37819,North America
BTN,Bhutan,Lower middle income,1,1951,181489,South Asia
BOL,Bolivia,Lower middle income,1,1951,3140342,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1951,2709913,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1951,425270,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1951,55605541,Latin America & Caribbean
,British Virgin Islands,,1,1951,7509,Unknown
BRN,Brunei,High income: nonOECD,1,1951,50971,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1951,7303773,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1951,4324493,Sub-Saharan Africa
BDI,Burundi,Low income,1,1951,2359234,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1951,4539656,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1951,4544218,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1951,14099994,North America
CPV,Cape Verde,Lower middle income,1,1951,186124,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1951,6269,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1951,1339842,Sub-Saharan Africa
TCD,Chad,Low income,1,1951,2544102,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1951,102965,Europe & Central Asia
CHL,Chile,High income: OECD,1,1951,6278346,Latin America & Caribbean
CHN,China,Upper middle income,1,1951,558820362,East Asia & Pacific
,Christmas Island,,1,1951,627,Unknown
,Cocos Island,,1,1951,329,Unknown
COL,Colombia,Upper middle income,1,1951,12699949,Latin America & Caribbean
COM,Comoros,Low income,1,1951,160083,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,1,1951,12428829,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,1,1951,824129,Sub-Saharan Africa
,Cook Is,,1,1951,15411,Unknown
CRI,Costa Rica,Upper middle income,1,1951,986159,Latin America & Caribbean
CIV,Cote d'Ivoire,Lower middle income,1,1951,2692657,Sub-Saharan Africa
HRV,Croatia,High income: nonOECD,1,1951,3886222,Europe & Central Asia
CUB,Cuba,Upper middle income,1,1951,6051290,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,1,1951,500378,Europe & Central Asia
CZE,Czech Republic,High income: OECD,1,1951,9005036,Europe & Central Asia
,Czechoslovakia,,1,1951,12534585,Unknown
DNK,Denmark,High income: OECD,1,1951,4308324,Europe & Central Asia
DJI,Djibouti,Lower middle income,1,1951,63309,Middle East & North Africa
DMA,Dominica,Upper middle income,1,1951,51706,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,1,1951,2438412,Latin America & Caribbean
,East Germany,,1,1951,18320272,Unknown
ECU,Ecuador,Upper middle income,1,1951,3561154,Latin America & Caribbean
EGY,Egypt,Lower middle income,1,1951,21383393,Middle East & North Africa
SLV,El Salvador,Lower middle income,1,1951,2236577,Latin America & Caribbean
GNQ,Equatorial Guinea,High income: nonOECD,1,1951,230057,Sub-Saharan Africa
ERI,Eritrea,Low income,1,1951,1162658,Sub-Saharan Africa
,Eritrea and Ethiopia,,1,1951,21936153,Unknown
EST,Estonia,High income: OECD,1,1951,1113247,Europe & Central Asia
ETH,Ethiopia,Low income,1,1951,18466918,Sub-Saharan Africa
FRO,Faeroe Islands,High income: nonOECD,1,1951,31287,Europe & Central Asia
,Falkland Is (Malvinas),,1,1951,2247,Unknown
FJI,Fiji,Upper middle income,1,1951,296206,East Asia & Pacific
FIN,Finland,High income: OECD,1,1951,4049689,Europe & Central Asia
FRA,France,High income: OECD,1,1951,42071027,Europe & Central Asia
,French Guiana,,1,1951,26246,Unknown
PYF,French Polynesia,High income: nonOECD,1,1951,62083,East Asia & Pacific
GAB,Gabon,Upper middle income,1,1951,475864,Sub-Saharan Africa
GMB,Gambia,Low income,1,1951,272719,Sub-Saharan Africa
GEO,Georgia,Lower middle income,1,1951,3584698,Europe & Central Asia
DEU,Germany,High income: OECD,1,1951,70111671,Europe & Central Asia
GHA,Ghana,Lower middle income,1,1951,5068433,Sub-Saharan Africa
,Gibraltar,,1,1951,20644,Unknown
GRC,Greece,High income: OECD,1,1951,7635277,Europe & Central Asia
GRL,Greenland,High income: nonOECD,1,1951,23470,Europe & Central Asia
GRD,Grenada,Upper middle income,1,1951,76626,Latin America & Caribbean
,Guadeloupe,,1,1951,213055,Unknown
GUM,Guam,High income: nonOECD,1,1951,60261,East Asia & Pacific
GTM,Guatemala,Lower middle income,1,1951,3237922,Latin America & Caribbean
,Guernsey,,1,1951,45536,Unknown
GIN,Guinea,Low income,1,1951,3141548,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,1,1951,544103,Sub-Saharan Africa
GUY,Guyana,Lower middle income,1,1951,420290,Latin America & Caribbean
HTI,Haiti,Low income,1,1951,3275368,Latin America & Caribbean
,Holy See,,1,1951,887,Unknown
HND,Honduras,Lower middle income,1,1951,1524974,Latin America & Caribbean
HKG,"Hong Kong, China",High income: nonOECD,1,1951,2036150,East Asia & Pacific
HUN,Hungary,High income: OECD,1,1951,9478110,Europe & Central Asia
ISL,Iceland,High income: OECD,1,1951,144928,Europe & Central Asia
IND,India,Lower middle income,1,1951,382231042,South Asia
IDN,Indonesia,Lower middle income,1,1951,70869608,East Asia & Pacific
IRN,Iran,Upper middle income,1,1951,17516578,Middle East & North Africa
IRQ,Iraq,Upper middle income,1,1951,5901507,Middle East & North Africa
IRL,Ireland,High income: OECD,1,1951,2921278,Europe & Central Asia
IMY,Isle of Man,High income: nonOECD,1,1951,55264,Europe & Central Asia
ISR,Israel,High income: OECD,1,1951,1354097,Middle East & North Africa
ITA,Italy,High income: OECD,1,1951,47014137,Europe & Central Asia
JAM,Jamaica,Upper middle income,1,1951,1436851,Latin America & Caribbean
JPN,Japan,High income: OECD,1,1951,83794452,East Asia & Pacific
,Jersey,,1,1951,57453,Unknown
JOR,Jordan,Upper middle income,1,1951,503116,Middle East & North Africa
KAZ,Kazakhstan,Upper middle income,1,1951,6831158,Europe & Central Asia
KEN,Kenya,Lower middle income,1,1951,6240177,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1951,33627,East Asia & Pacific
PRK,North Korea,Low income,1,1951,10248496,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1951,19304737,East Asia & Pacific
,United Korea (former),,1,1951,30056190,Unknown
KSV,Kosovo,Lower middle income,1,1951,1213291,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1951,163632,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1951,1763226,Europe & Central Asia
LAO,Lao,Lower middle income,1,1951,1723050,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1951,1954829,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1951,1358220,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1951,744320,Sub-Saharan Africa
LBR,Liberia,Low income,1,1951,943241,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1951,1131590,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1951,13942,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1951,2569877,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1951,297588,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1951,195950,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1951,1290413,Europe & Central Asia
MDG,Madagascar,Low income,1,1951,4167827,Sub-Saharan Africa
MWI,Malawi,Low income,1,1951,3008074,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1951,6261916,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1951,74224,South Asia
MLI,Mali,Low income,1,1951,4759039,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1951,312725,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1951,13221,East Asia & Pacific
,Martinique,,1,1951,224418,Unknown
MRT,Mauritania,Lower middle income,1,1951,675594,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1951,506431,Sub-Saharan Africa
,Mayotte,,1,1951,15733,Unknown
MEX,Mexico,Upper middle income,1,1951,28836111,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1951,33400,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1951,2381443,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1951,19378,Europe & Central Asia
MNG,Mongolia,Upper middle income,1,1951,793537,East Asia & Pacific
MNE,Montenegro,Upper middle income,1,1951,400876,Europe & Central Asia
,Montserrat,,1,1951,14123,Unknown
MAR,Morocco,Lower middle income,1,1951,9243680,Middle East & North Africa
MOZ,Mozambique,Low income,1,1951,6405068,Sub-Saharan Africa
MMR,Myanmar,Lower middle income,1,1951,17850068,East Asia & Pacific
NAM,Namibia,Upper middle income,1,1951,494611,Sub-Saharan Africa
,Nauru,,1,1951,3059,Unknown
NPL,Nepal,Low income,1,1951,8657577,South Asia
NLD,Netherlands,High income: OECD,1,1951,10148714,Europe & Central Asia
,Netherlands Antilles,,1,1951,113954,Unknown
NCL,New Caledonia,High income: nonOECD,1,1951,64281,East Asia & Pacific
NZL,New Zealand,High income: OECD,1,1951,1947802,East Asia & Pacific
,Ngorno-Karabakh,,1,1951,,Unknown
NIC,Nicaragua,Lower middle income,1,1951,1331740,Latin America & Caribbean
NER,Niger,Low income,1,1951,2637582,Sub-Saharan Africa
NGA,Nigeria,Lower middle income,1,1951,38431323,Sub-Saharan Africa
,Niue,,1,1951,4682,Unknown
,Norfolk Island,,1,1951,1694,Unknown
,Northern Cyprus,,1,1951,,Unknown
MNP,Northern Mariana Islands,High income: nonOECD,1,1951,7089,East Asia & Pacific
NOR,Norway,High income: OECD,1,1951,3300422,Europe & Central Asia
OMN,Oman,High income: nonOECD,1,1951,462257,Middle East & North Africa
PAK,Pakistan,Lower middle income,1,1951,37976075,South Asia
PLW,Palau,Upper middle income,1,1951,7497,East Asia & Pacific
PAN,Panama,Upper middle income,1,1951,881346,Latin America & Caribbean
PNG,Papua New Guinea,Lower middle income,1,1951,1729254,East Asia & Pacific
PRY,Paraguay,Upper middle income,1,1951,1511764,Latin America & Caribbean
PER,Peru,Upper middle income,1,1951,7924206,Latin America & Caribbean
PHL,Philippines,Lower middle income,1,1951,19246611,East Asia & Pacific
,Pitcairn,,1,1951,133,Unknown
POL,Poland,High income: OECD,1,1951,25264029,Europe & Central Asia
PRT,Portugal,High income: OECD,1,1951,8431207,Europe & Central Asia
PRI,Puerto Rico,High income: nonOECD,1,1951,2209692,Latin America & Caribbean
QAT,Qatar,High income: nonOECD,1,1951,27475,Middle East & North Africa
,Reunion,,1,1951,259293,Unknown
ROM,Romania,Upper middle income,1,1951,16512672,Europe & Central Asia
RUS,Russia,High income: nonOECD,1,1951,104306354,Europe & Central Asia
RWA,Rwanda,Low income,1,1951,2250675,Sub-Saharan Africa
,St. Barthélemy,,1,1951,2228,Unknown
,St. Helena,,1,1951,5010,Unknown
KNA,St. Kitts and Nevis,High income: nonOECD,1,1951,46139,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,1,1951,83875,Latin America & Caribbean
MAF,St. Martin,High income: nonOECD,1,1951,17559,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,1,1951,68067,Latin America & Caribbean
,St.-Pierre-et-Miquelon,,1,1951,4605,Unknown
WSM,Samoa,Lower middle income,1,1951,84439,East Asia & Pacific
SMR,San Marino,High income: nonOECD,1,1951,12918,Europe & Central Asia
STP,Sao Tome and Principe,Lower middle income,1,1951,59203,Sub-Saharan Africa
SAU,Saudi Arabia,High income: nonOECD,1,1951,3198551,Middle East & North Africa
SEN,Senegal,Lower middle income,1,1951,2529699,Sub-Saharan Africa
SRB,Serbia,Upper middle income,1,1951,6853289,Europe & Central Asia
,Serbia and Montenegro,,1,1951,7193100,Unknown
,Serbia excluding Kosovo,,1,1951,5735248,Unknown
SYC,Seychelles,High income: nonOECD,1,1951,36883,Sub-Saharan Africa
SLE,Sierra Leone,Low income,1,1951,1962818,Sub-Saharan Africa
SGP,Singapore,High income: nonOECD,1,1951,1067964,East Asia & Pacific
SXM,Slovak Republic,High income: nonOECD,1,1951,3509957,Latin America & Caribbean
SVK,Slovenia,High income: OECD,1,1951,1481637,Europe & Central Asia
SVN,Solomon Islands,High income: OECD,1,1951,91808,Europe & Central Asia
SLB,Somalia,Lower middle income,1,1951,2307576,East Asia & Pacific
SOM,Somaliland,Low income,1,1951,,Sub-Saharan Africa
ZAF,South Africa,Upper middle income,1,1951,13993888,Sub-Saharan Africa
SSD,South Ossetia,Low income,1,1951,,Sub-Saharan Africa
ESP,Spain,High income: OECD,1,1951,28237323,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,1,1951,8201505,South Asia
SDN,Sudan,Lower middle income,1,1951,5883670,Sub-Saharan Africa
SUR,Suriname,Upper middle income,1,1951,222679,Latin America & Caribbean
,Svalbard,,1,1951,1478,Unknown
SWZ,Swaziland,Lower middle income,1,1951,278952,Sub-Saharan Africa
SWE,Sweden,High income: OECD,1,1951,7072080,Europe & Central Asia
CHE,Switzerland,High income: OECD,1,1951,4726283,Europe & Central Asia
SYR,Syria,Lower middle income,1,1951,3500650,Middle East & North Africa
TWN,Taiwan,High income: nonOECD,1,1951,8260667,East Asia & Pacific
TJK,Tajikistan,Lower middle income,1,1951,1576454,Europe & Central Asia
TZA,Tanzania,Low income,1,1951,7847303,Sub-Saharan Africa
THA,Thailand,Upper middle income,1,1951,21263203,East Asia & Pacific
TMP,Timor-Leste,Lower middle income,1,1951,438192,East Asia & Pacific
TGO,Togo,Low income,1,1951,1425482,Sub-Saharan Africa
,Tokelau,,1,1951,1516,Unknown
TON,Tonga,Upper middle income,1,1951,49311,East Asia & Pacific
,Transnistria,,1,1951,,Unknown
TTO,Trinidad and Tobago,High income: nonOECD,1,1951,658830,Latin America & Caribbean
TUN,Tunisia,Upper middle income,1,1951,3696457,Middle East & North Africa
TUR,Turkey,Upper middle income,1,1951,21806355,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,1,1951,1228378,Europe & Central Asia
TCA,Turks and Caicos Islands,High income: nonOECD,1,1951,4984,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,1,1951,5221,East Asia & Pacific
UGA,Uganda,Low income,1,1951,5308673,Sub-Saharan Africa
UKR,Ukraine,Lower middle income,1,1951,37815815,Europe & Central Asia
ARE,United Arab Emirates,High income: nonOECD,1,1951,67972,Middle East & North Africa
GBR,United Kingdom,High income: OECD,1,1951,50620538,Europe & Central Asia
USA,United States,High income: OECD,1,1951,159880756,North America
URY,Uruguay,High income: nonOECD,1,1951,2261342,Latin America & Caribbean
,USSR,,1,1951,182701382,Unknown
UZB,Uzbekistan,Lower middle income,1,1951,7104056,Europe & Central Asia
,Wallis et Futuna,,1,1951,7088,Unknown
VUT,Vanuatu,Lower middle income,1,1951,48919,East Asia & Pacific
VEN,Venezuela,High income: nonOECD,1,1951,5735168,Latin America & Caribbean
,West Bank and Gaza,,1,1951,,Unknown
,West Germany,,1,1951,50454034,Unknown
,Western Sahara,,1,1951,16061,Unknown
VNM,Vietnam,Lower middle income,1,1951,923753,East Asia & Pacific
VIR,Virgin Islands (U.S.),High income: nonOECD,1,1951,27295,Latin America & Caribbean
WBG,North Yemen (former),Lower middle income,1,1951,4295510,Middle East & North Africa
,South Yemen (former),,1,1951,1329964,Unknown
YEM,Yemen,Lower middle income,1,1951,4474025,Middle East & North Africa
,Yugoslavia,,1,1951,16508307,Unknown
ZMB,Zambia,Lower middle income,1,1951,2376075,Sub-Saharan Africa
ZWE,Zimbabwe,Low income,1,1951,2830449,Sub-Saharan Africa
,Åland,,1,1951,21618,Unknown
,South Sudan,,1,1951,2601308,Unknown
,Curaçao,,1,1951,104566,Unknown
,Sint Maarten (Dutch part),,1,1951,1664,Unknown
,St. Martin (French part),,1,1951,,Unknown
,Antarctica,,1,1951,,Unknown
,Bouvet Island,,1,1951,,Unknown
,British Indian Ocean Territory,,1,1951,,Unknown
,Clipperton,,1,1951,,Unknown
,French Southern and Antarctic Lands,,1,1951,,Unknown
,Gaza Strip,,1,1951,,Unknown
,Heard and McDonald Islands,,1,1951,,Unknown
,Northern Marianas,,1,1951,,Unknown
,South Georgia and the South Sandwich Islands,,1,1951,,Unknown
,US Minor Outlying Islands,,1,1951,,Unknown
,Virgin Islands,,1,1951,,Unknown
,West Bank,,1,1951,,Unknown
,Abkhazia,,1,1952,,Unknown
AFG,Afghanistan,Low income,1,1952,7934798,South Asia
,Akrotiri and Dhekelia,,1,1952,10813,Unknown
ALB,Albania,Upper middle income,1,1952,1316086,Europe & Central Asia
DZA,Algeria,Upper middle income,1,1952,9216395,Middle East & North Africa
ASM,American Samoa,Upper middle income,1,1952,19543,East Asia & Pacific
ADO,Andorra,High income: nonOECD,1,1952,7250,Europe & Central Asia
AGO,Angola,Upper middle income,1,1952,4529381,Sub-Saharan Africa
,Anguilla,,1,1952,5438,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1952,49887,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1952,17866097,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1952,1419913,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1952,38965,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1952,8627052,East Asia & Pacific
AUT,Austria,High income: OECD,1,1952,6929289,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1952,3045429,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1952,81428,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1952,119689,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1952,39493326,South Asia
BRB,Barbados,High income: nonOECD,1,1952,219636,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1952,7711027,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1952,8721192,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1952,73428,Latin America & Caribbean
BEN,Benin,Low income,1,1952,2264378,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1952,38474,North America
BTN,Bhutan,Lower middle income,1,1952,186160,South Asia
BOL,Bolivia,Lower middle income,1,1952,3193287,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1952,2763298,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1952,437182,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1952,57304772,Latin America & Caribbean
,British Virgin Islands,,1,1952,7561,Unknown
BRN,Brunei,High income: nonOECD,1,1952,53932,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1952,7359997,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1952,4367137,Sub-Saharan Africa
BDI,Burundi,Low income,1,1952,2403777,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1952,4658653,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1952,4623471,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1952,14481497,North America
CPV,Cape Verde,Lower middle income,1,1952,191521,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1952,6245,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1952,1353470,Sub-Saharan Africa
TCD,Chad,Low income,1,1952,2589278,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1952,103653,Europe & Central Asia
CHL,Chile,High income: OECD,1,1952,6417543,Latin America & Caribbean
CHN,China,Upper middle income,1,1952,570764965,East Asia & Pacific
,Christmas Island,,1,1952,645,Unknown
,Cocos Island,,1,1952,333,Unknown
COL,Colombia,Upper middle income,1,1952,13064689,Latin America & Caribbean
COM,Comoros,Low income,1,1952,163553,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,1,1952,12680934,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,1,1952,841473,Sub-Saharan Africa
,Cook Is,,1,1952,15638,Unknown
CRI,Costa Rica,Upper middle income,1,1952,1015875,Latin America & Caribbean
CIV,Cote d'Ivoire,Lower middle income,1,1952,2758455,Sub-Saharan Africa
HRV,Croatia,High income: nonOECD,1,1952,3922675,Europe & Central Asia
CUB,Cuba,Upper middle income,1,1952,6180031,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,1,1952,506627,Europe & Central Asia
CZE,Czech Republic,High income: OECD,1,1952,9106227,Europe & Central Asia
,Czechoslovakia,,1,1952,12678286,Unknown
DNK,Denmark,High income: OECD,1,1952,4345218,Europe & Central Asia
DJI,Djibouti,Lower middle income,1,1952,64748,Middle East & North Africa
DMA,Dominica,Upper middle income,1,1952,52298,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,1,1952,2517258,Latin America & Caribbean
,East Germany,,1,1952,18252710,Unknown
ECU,Ecuador,Upper middle income,1,1952,3655012,Latin America & Caribbean
EGY,Egypt,Lower middle income,1,1952,21904478,Middle East & North Africa
SLV,El Salvador,Lower middle income,1,1952,2278305,Latin America & Caribbean
GNQ,Equatorial Guinea,High income: nonOECD,1,1952,232757,Sub-Saharan Africa
ERI,Eritrea,Low income,1,1952,1184694,Sub-Saharan Africa
,Eritrea and Ethiopia,,1,1952,22304326,Unknown
EST,Estonia,High income: OECD,1,1952,1125245,Europe & Central Asia
ETH,Ethiopia,Low income,1,1952,18819634,Sub-Saharan Africa
FRO,Faeroe Islands,High income: nonOECD,1,1952,31218,Europe & Central Asia
,Falkland Is (Malvinas),,1,1952,2235,Unknown
FJI,Fiji,Upper middle income,1,1952,304813,East Asia & Pacific
FIN,Finland,High income: OECD,1,1952,4095130,Europe & Central Asia
FRA,France,High income: OECD,1,1952,42365756,Europe & Central Asia
,French Guiana,,1,1952,26895,Unknown
PYF,French Polynesia,High income: nonOECD,1,1952,63869,East Asia & Pacific
GAB,Gabon,Upper middle income,1,1952,477711,Sub-Saharan Africa
GMB,Gambia,Low income,1,1952,276771,Sub-Saharan Africa
GEO,Georgia,Lower middle income,1,1952,3646321,Europe & Central Asia
DEU,Germany,High income: OECD,1,1952,70421462,Europe & Central Asia
GHA,Ghana,Lower middle income,1,1952,5191221,Sub-Saharan Africa
,Gibraltar,,1,1952,20773,Unknown
GRC,Greece,High income: OECD,1,1952,7706022,Europe & Central Asia
GRL,Greenland,High income: nonOECD,1,1952,23941,Europe & Central Asia
GRD,Grenada,Upper middle income,1,1952,77135,Latin America & Caribbean
,Guadeloupe,,1,1952,217248,Unknown
GUM,Guam,High income: nonOECD,1,1952,60872,East Asia & Pacific
GTM,Guatemala,Lower middle income,1,1952,3330548,Latin America & Caribbean
,Guernsey,,1,1952,45720,Unknown
GIN,Guinea,Low income,1,1952,3185537,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,1,1952,552032,Sub-Saharan Africa
GUY,Guyana,Lower middle income,1,1952,435850,Latin America & Caribbean
HTI,Haiti,Low income,1,1952,3331582,Latin America & Caribbean
,Holy See,,1,1952,884,Unknown
HND,Honduras,Lower middle income,1,1952,1568424,Latin America & Caribbean
HKG,"Hong Kong, China",High income: nonOECD,1,1952,2133603,East Asia & Pacific
HUN,Hungary,High income: OECD,1,1952,9595219,Europe & Central Asia
ISL,Iceland,High income: OECD,1,1952,147681,Europe & Central Asia
IND,India,Lower middle income,1,1952,388515758,South Asia
IDN,Indonesia,Lower middle income,1,1952,72309902,East Asia & Pacific
IRN,Iran,Upper middle income,1,1952,17933356,Middle East & North Africa
IRQ,Iraq,Upper middle income,1,1952,6065012,Middle East & North Africa
IRL,Ireland,High income: OECD,1,1952,2924222,Europe & Central Asia
IMY,Isle of Man,High income: nonOECD,1,1952,54906,Europe & Central Asia
ISR,Israel,High income: OECD,1,1952,1451493,Middle East & North Africa
ITA,Italy,High income: OECD,1,1952,47398599,Europe & Central Asia
JAM,Jamaica,Upper middle income,1,1952,1468361,Latin America & Caribbean
JPN,Japan,High income: OECD,1,1952,85174909,East Asia & Pacific
,Jersey,,1,1952,58079,Unknown
JOR,Jordan,Upper middle income,1,1952,542123,Middle East & North Africa
KAZ,Kazakhstan,Upper middle income,1,1952,7041605,Europe & Central Asia
KEN,Kenya,Lower middle income,1,1952,6412380,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1952,34283,East Asia & Pacific
PRK,North Korea,Low income,1,1952,10049026,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1952,19566860,East Asia & Pacific
,United Korea (former),,1,1952,29830665,Unknown
KSV,Kosovo,Lower middle income,1,1952,1227616,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1952,173622,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1952,1791952,Europe & Central Asia
LAO,Lao,Lower middle income,1,1952,1763791,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1952,1965114,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1952,1392725,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1952,754849,Sub-Saharan Africa
LBR,Liberia,Low income,1,1952,957864,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1952,1152277,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1952,14135,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1952,2578522,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1952,299499,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1952,193743,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1952,1320984,Europe & Central Asia
MDG,Madagascar,Low income,1,1952,4256120,Sub-Saharan Africa
MWI,Malawi,Low income,1,1952,3065030,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1952,6433161,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1952,75189,South Asia
MLI,Mali,Low income,1,1952,4811198,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1952,313192,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1952,13436,East Asia & Pacific
,Martinique,,1,1952,228268,Unknown
MRT,Mauritania,Lower middle income,1,1952,691807,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1952,521190,Sub-Saharan Africa
,Mayotte,,1,1952,16448,Unknown
MEX,Mexico,Upper middle income,1,1952,29711632,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1952,34596,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1952,2432096,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1952,19077,Europe & Central Asia
MNG,Mongolia,Upper middle income,1,1952,807926,East Asia & Pacific
MNE,Montenegro,Upper middle income,1,1952,410511,Europe & Central Asia
,Montserrat,,1,1952,14489,Unknown
