Gender,Number of Records,Occurences,State,Top Name,Year
Female,1,565,AR,Ashley,1987
Female,1,561,AR,Jessica,1988
Female,1,473,AR,Ashley,1989
Female,1,453,AR,Jessica,1990
Female,1,426,AR,Ashley,1991
Female,1,381,AR,Jessica,1992
Female,1,353,AR,Ashley,1993
Female,1,294,AR,Ashley,1994
Female,1,273,AR,Ashley,1995
Female,1,277,AR,Hannah,1996
Female,1,270,AR,Hannah,1997
Female,1,266,AR,Hannah,1998
Female,1,297,AR,Hannah,1999
Female,1,287,AR,Hannah,2000
Female,1,292,AR,Hannah,2001
Female,1,283,AR,Madison,2002
Female,1,272,AR,Madison,2003
Female,1,281,AR,Madison,2004
Female,1,264,AR,Emily,2005
Female,1,269,AR,Madison,2006
Female,1,225,AR,Madison,2007
Female,1,191,AR,Madison,2008
Female,1,186,AR,Emma,2009
Female,1,202,AR,Emma,2010
Female,1,185,AR,Emma,2011
Female,1,185,AR,Emma,2012
Male,1,230,AR,James,1910
Male,1,248,AR,James,1911
Male,1,399,AR,James,1912
Male,1,526,AR,James,1913
Male,1,648,AR,James,1914
Male,1,880,AR,James,1915
Male,1,916,AR,James,1916
Male,1,985,AR,James,1917
Male,1,1157,AR,James,1918
Male,1,1221,AR,James,1919
Male,1,1308,AR,James,1920
Male,1,1335,AR,James,1921
Male,1,1419,AR,James,1922
Male,1,1395,AR,James,1923
Male,1,1509,AR,James,1924
Male,1,1421,AR,James,1925
Male,1,1457,AR,James,1926
Male,1,1386,AR,James,1927
Male,1,1280,AR,James,1928
Male,1,1297,AR,James,1929
Male,1,1244,AR,James,1930
Male,1,1222,AR,James,1931
Male,1,1332,AR,James,1932
Male,1,1332,AR,James,1933
Male,1,1358,AR,James,1934
Male,1,1376,AR,James,1935
Male,1,1292,AR,James,1936
Male,1,1302,AR,James,1937
Male,1,1368,AR,James,1938
Male,1,1399,AR,James,1939
Male,1,1473,AR,James,1940
Male,1,1460,AR,James,1941
Male,1,1615,AR,James,1942
Male,1,1613,AR,James,1943
Male,1,1472,AR,James,1944
Male,1,1429,AR,James,1945
Male,1,1584,AR,James,1946
Male,1,1618,AR,James,1947
Male,1,1513,AR,James,1948
Male,1,1497,AR,James,1949
Male,1,1429,AR,James,1950
Male,1,1359,AR,James,1951
Male,1,1277,AR,James,1952
Male,1,1190,AR,James,1953
Male,1,1137,AR,James,1954
Male,1,1094,AR,James,1955
Male,1,1033,AR,James,1956
Male,1,966,AR,James,1957
Male,1,939,AR,James,1958
Male,1,929,AR,James,1959
Male,1,865,AR,James,1960
Male,1,904,AR,James,1961
Male,1,839,AR,James,1962
Male,1,926,AR,James,1963
Male,1,920,AR,James,1964
Male,1,816,AR,James,1965
Male,1,737,AR,James,1966
Male,1,745,AR,James,1967
Male,1,678,AR,James,1968
Male,1,684,AR,Michael,1969
Male,1,714,AR,James,1970
Male,1,707,AR,Michael,1971
Male,1,708,AR,Michael,1972
Male,1,718,AR,Michael,1973
Male,1,720,AR,Michael,1974
Male,1,664,AR,Michael,1975
Male,1,643,AR,Jason,1976
Male,1,666,AR,Jason,1977
Male,1,593,AR,Jason,1978
Male,1,585,AR,Michael,1979
Male,1,597,AR,Michael,1980
Male,1,519,AR,Joshua,1981
Male,1,584,AR,Christopher,1982
Male,1,597,AR,Christopher,1983
Male,1,585,AR,Christopher,1984
Male,1,553,AR,Christopher,1985
Male,1,531,AR,Christopher,1986
Male,1,503,AR,Christopher,1987
